id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
961,"GSE69926","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69926","Single-cell RNA-seq reveals activation of unique gene groups as a consequence of stem cell-parenchymal cell fusion","Mus musculus","3/22/16","71","RNA-Seq","  Fusion of donor mesenchymal stem cells with parenchymal cells of the recipient can occur in the brain liver intestine and heart following transplantation. The therapeutic benefit or detriment of resultant hybrids is unknown. Here we sought a global view of phenotypic diversification of mesenchymal stem cell-cardiomyocyte hybrids and associated time course. Using single-cell RNA-seq we found hybrids consistently increase ribosome components and decrease genes associated with the cell cycle suggesting an increase in protein production and decrease in proliferation to accommodate the fused state. But in the case of most other gene groups hybrids were individually distinct. In fact though hybrids can express a transcriptome similar to individual fusion partners approximately one-third acquired distinct expression profiles in a single day. Some hybrids underwent reprogramming expressing pluripotency and cardiac precursor genes latent in parental cells and associated with developmental and morphogenic gene groups. Other hybrids expressed genes associated with ontologic cancer sets and two hybrids of separate experimental replicates clustered with breast cancer cells expressing critical oncogenes and lacking tumor suppressor genes. Rapid transcriptional diversification of this type garners consideration in the context of cellular transplantation to damaged tissues those with viral infection or other microenvironmental conditions that might promote fusion.																																																																																														",NULL,NULL,NULL,NULL,NULL
962,"GSE69968","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69968","RNA-Sequencing of primary myoblasts from mice with a satellite cell specific knockout of the histone demthylase UTX/KDM6A","Mus musculus","3/22/16","8","RNA-Seq","  The KDM6 histone demethylases (UTX/KDM6A and JMJD3/KDM6B) mediate removal of repressive histone H3K27me3 marks to establish transcriptionally permissive chromatin. Loss of UTX in female mice is embryonic lethal. Unexpectedly male UTX-null mice escape embryonic lethality due to expression of UTY a paralog lacking H3K27-demethylase activity. This suggests that UTX plays an enzyme-independent role in development and challenges the need for active H3K27-demethylation in vivo. However the requirement for active H3K27-demethylation in stem cell-mediated tissue regeneration remains untested. Using an inducible mouse knockout that ablates UTX in satellite cells we show that active H3K27-demethylation is necessary for muscle regeneration. Indeed loss of UTX in satellite cells blocks myofiber regeneration in both male and female mice. Furthermore we demonstrate that UTX mediates muscle regeneration through its H3K27-demethylase activity using a chemical inhibitor and a demethylase-dead UTX knock-in mouse. Mechanistically dissection of the muscle regenerative process revealed that UTX is required for expression of the transcription factor Myogenin that drives differentiation of muscle progenitors. Thus we have identified a critical role for the enzymatic activity of UTX in activating muscle-specific gene expression during myofiber regeneration revealing for the first time that active H3K27-demethylation has a physiological role in vivo.																																																																																												",NULL,NULL,NULL,NULL,NULL
981,"GSE70723","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70723","RNA sequencing of Taf4+/+ and Taf4-/- cells in 1 timepoint during the differentiation into the cardiac lineage","Mus musculus","3/20/16","4","RNA-Seq","  We determined the Taf4 dependent differential expression of RNAs in WT as well as KO cells at day 9 of the differentiation into the cardiac lineage.																																																																																																							",NULL,NULL,NULL,NULL,NULL
1120,"GSE78224","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78224","BET inhibition releases the Mediator complex from specific cis elements in acute myeloid leukemia cells (RNA-Seq II)","Mus musculus","3/1/16","4","RNA-Seq","  Genome occupancy profiling by high throughput sequencing																																																																																																							",NULL,NULL,NULL,NULL,NULL
1122,"GSE78706","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78706","RNAseq Reveals Virulence-Specific Host Responses to M. tuberculosis infection","Mus musculus","3/1/16","9","RNA-Seq","  We infect bone marrow derived macrophages (BMDMs) with either a Hyper or Hypovirulent Mycobacterium tuberculolsis strain and assess the host response to these bacteria through RNAseq																																																																																																							",NULL,NULL,NULL,NULL,NULL
1137,"GSE72726","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72726","Chromatin Remodeler CHD7 mutated in CHARGE Syndrome Interacts with Sox10 to Regulate Timing of CNS Myelination and Remyelination [RNA-seq]","Mus musculus","2/29/16","4","RNA-Seq","  Mutations in CHD7 encoding ATP-dependent chromodomain-helicase-DNA-binding protein 7 in CHARGE syndrome leads to multiple congenital anomalies including growth retardation craniofacial malformations and neurological dysfunction. Currently mechanisms underlying the CNS phenotypes remain poorly understood. Here we show that Chd7 is a direct transcriptional target of oligodendrogenesis-promoting factors Olig2 and Brg1 and required for proper timing of CNS myelination and remyelination. Genome-occupancy analyses coupled with transcriptome profiling reveal that Chd7 cooperates with Sox10 to target the enhancers of key myelinogenic genes and identify novel Chd7 target.																																																																																																	",NULL,NULL,NULL,NULL,NULL
1174,"GSE75809","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75809","RNA-Seq analysis of the WEHI-231-derived stable cell lines WEHI-control and WEHI-miR-148a","Mus musculus","2/22/16","8","RNA-Seq","  miRNAs regulate the expression of its targets genes by promoting mRNA degradation and translational repression. The goal of this study is to perform RNA-Seq in control or miR-148a-expressing WEHI-231 cell lines for the identification of miR-148a target genes.																																																																																																							",NULL,NULL,NULL,NULL,NULL
1177,"GSE70728","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70728","Role of the histone demethylase KDM2B in hematopoietic homeostasis and malignancies [RNA-seq]","Mus musculus","2/22/16","4","RNA-Seq","  Development of the hematopoietic system is dynamically controlled by the interplay of transcriptional and epigenetic networks to determine cellular identity. Those networks are critical for homeostasis and frequently dysregulated in leukemias. We identified histone demethylase Kdm2b as a critical regulator of definitive hematopoiesis and lineage specification of hematopoietic stem and progenitor cells (HSPCs). RNA sequencing in murine HSPCs and genome-wide chromatin immunoprecipitation studies in human leukemias revealed that Kdm2b regulates differentiation lineage choice cytokine signaling and quiescence.																																																																																																				",NULL,NULL,NULL,NULL,NULL
1194,"GSE77569","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77569","RNA-sequencing reveals transcriptional up-regulation of Trem2 in response to bexarotene treatment","Mus musculus","2/19/16","8","RNA-Seq","  High throughput massively parallel sequencing on mRNA libraries generated from cortices of bexarotene or vehicle treated APP/PS1																																																																																																							",NULL,NULL,NULL,NULL,NULL
1310,"GSE75589","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75589"," Core pathway mutations induce de-differentiation of murine astrocytes into glioblastoma stem cells that are sensitive to radiation, but resistant to temozolomide (RNA-seq)","Mus musculus","2/1/16","4","RNA-Seq","  Introduction: Glioma stem cells isolated from human glioblastomas are resistant to radiation and cytotoxic chemotherapy and may drive tumor recurrence. Treatment efficacy may depend on the presence of glioma stem cells expression of DNA repair enzymes such as methylguanine methyltransferase (MGMT) or transcriptome subtype. Methods: To model genetic alterations in the core signaling pathways of human glioblastoma we induced conditional Rb knockout Kras activation and Pten deletion mutations in cortical murine astrocytes. Serial neurosphere culture multi-lineage differentiation and orthotopic transplantation were used to assess whether these mutations induced de-differentiation of cortical astrocytes into glioma stem cells. Efficacy of radiation and temozolomide was examined in vitro and in an allograft model in vivo. The effects of radiation on transcriptome subtype was examined by expression profiling. Results: G1/S-defective Rb knockout astrocytes gained unlimited self-renewal and multi-lineage differentiation capacity in both the presence and absence of Kras and Pten mutations. Only triple mutant astrocytes formed serially-transplantable glioblastoma allografts. Triple mutant astrocytes and allografts were sensitive to radiation but expressed Mgmt and were resistant to temozolomide. Radiation induced a shift in transcriptome subtype of glioblastoma allografts from proneural to mesenchymal. Conclusion: A defined set of core signaling pathway mutations induces de-differentiation of cortical murine astrocytes into glioma stem cells. This non-germline genetically engineered mouse model mimics human proneural glioblastoma on histopathological molecular and treatment response levels. It may be useful in dissecting the genetic and cellular mechanisms of treatment resistance and developing more effective therapies.																																																																																											",NULL,NULL,NULL,NULL,NULL
