id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
125,"GSE81212","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81212","Primary cancer cell culture: mammary-optimized versus conditional-reprogramming [RNA-seq]","Mus musculus","2016-06-21","22","rna_seq"
126,"GSE79883","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79883","Gene expression profiling during cardiac maturation, hypertrophy and after KD of TET2","Mus musculus","2016-06-21","12",""
127,"GSE79882","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79882","Genome-wide map of DNA 5-Hydroxymethylcytosine in cardiomyocytes isolated from E14.5, Neonatal, Adult, pressure-overload (TAC), sh-control and sh-TET2 isolated cardiomyocytes","Mus musculus","2016-06-21","22",""
128,"GSE78899","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78899","ChIP-seq for Polycomb group proteins and H3K27me3 in ESCs and NSCs","Mus musculus","2016-06-20","10",""
129,"GSE78876","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78876","Time-ChIP in ESCs and NSCs","Mus musculus","2016-06-20","40",""
130,"GSE67478","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67478","RNA-seq expression profiling of murine inner-ear hair cells","Mus musculus","2016-06-20","4","rna_seq"
131,"GSE74369","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74369","Tumor-derived circulating endothelial cell clusters diagnostic for early colorectal cancer","Homo sapiens","2016-06-20","53",""
132,"GSE71203","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71203","Transcriptome analysis of RANK-positive and RANK-negative luminal progenitor subpopulations in the human breast","Homo sapiens","2016-06-20","8",""
133,"GSE75733","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75733","RNA-seq of poly(A)+, poly(A)- and poly(A)-/RNaseR RNAs from human PA1 cells","Homo sapiens","2016-06-20","3","rna_seq"
134,"GSE81149","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81149","RNASeq of MLL-AF9 cells transduced with scramle shRNA or BRD4 shRNA in combination with DMSO or SGC0946","Mus musculus","2016-06-20","10","rna_seq"
135,"GSE81148","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81148","RNASeq of MV4;11 cells transduced with scramble shRNA or BRD4 shRNA in combination with DMSO or SGC0946","Homo sapiens","2016-06-20","12","rna_seq"
136,"GSE81147","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81147","RNASeq of 4SU labelled nascent RNA in MV4;11 cell treated with DMSO, I-BET, SGC0946 and combination of I-BET and SGC0946","Homo sapiens","2016-06-20","8","rna_seq"
137,"GSE81066","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81066","Genome-wide mRNA expression profiling for Wild Type and Itch-/- colonic mucosa Transcriptomes by RNA sequencing","Mus musculus","2016-06-20","4","rna_seq"
138,"GSE73532","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73532","YY1 plays an essential role at all stages of B cell differentiation [RNA-seq]","Mus musculus","2016-06-20","12","rna_seq "
139,"GSE73531","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73531","YY1 plays an essential role at all stages of B cell differentiation [ChIP-seq]","Mus musculus","2016-06-20","18",""
140,"GSE73433","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73433","Redifferentiation of expanded human islet _ cells by inhibition of ARX","Homo sapiens","2016-06-20","9",""
141,"GSE80338","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80338","Human glioblastoma-associated microglia/monocytes express a distinct RNA profile compared to human control and murine samples","Homo sapiens","2016-06-19","16","rna_seq"
142,"GSE83415","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83415","CD4+ T Cells Gene Expression-Based Biomarkers in Juvenile Idiopathic Arthritis (JIA)","Homo sapiens","2016-06-18","21",""
143,"GSE83479","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83479","Three different in vivo models of synovial sarcoma (xenograft: Fuji; PDX: CTG-0331 and CTG-0771) treated with or without the indicated dose of the EZH2 inhibitor, tazemetostat","Homo sapiens","2016-06-18","57",""
144,"GSE71384","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71384","TBR1 Regulates Autism Risk Genes in the Developing Neocortex","Mus musculus","2016-06-17","2",""
145,"GSE79782","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79782","Amnion as a surrogate tissue reporter of the effects of maternal preeclampsia on the fetus [RNA-Seq]","Homo sapiens","2016-06-17","29","rna_seq"
146,"GSE79781","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79781","Amnion as a surrogate tissue reporter of the effects of maternal preeclampsia on the fetus [Help-tagging]","Homo sapiens","2016-06-17","62","rna_seq"
147,"GSE80328","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80328","LaminB1 DamID in undifferentiated mouse C2C12 myoblasts (ATCC, Lot 59501261) and differentiated C2C12 myotubes","Mus musculus","2016-06-17","4",""
148,"GSE81214","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81214","RNA-seq of hESC samples upon loss of UPF1.","Homo sapiens","2016-06-17","4","rna_seq"
149,"GSE74290","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74290","Heterogeneity in early lymphoid compartments [RNA-Seq]","Mus musculus","2016-06-17","23","rna_seq"
150,"GSE72901","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72901","Histone arginine methyltransferase CARM1 Is Crucial for Epigenetic Regulation of Starvation-induced Autophagy","Mus musculus","2016-06-17","12",""
151,"GSE65959","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65959","Profiling of upstream enhancers of SHOX in idiopathic short stature and functional characterization of the cis-regulatory landscape of SHOX","Gallus gallus; Homo ","2016-06-16","2",""
152,"GSE77051","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77051","Retinoic Acid Is Sufficient for the in vitro Induction of Mouse Spermatocytes","Mus musculus","2016-06-16","12",""
153,"GSE79352","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79352","The dynamic translatome of retinal ganglion cell axons during assembly and maintenance of the mouse visual system","Mus musculus","2016-06-16","28",""
154,"GSE83419","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83419","ChIP-seq analysis of Guanylate Cyclase Soluble Subunit Beta-3 (GUCY1B3 or sGC_1) binding to chromatin DNA","Homo sapiens","2016-06-16","2",""
155,"GSE83373","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83373","The Zinc Finger Transcription Factor Sp9 Is Required for the Development of Striatopallidal Projection Neurons","Mus musculus","2016-06-16","6",""
156,"GSE81180","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81180","A damage independent role for 53BP1 that impacts break order and Igh architecture during CSR","Mus musculus","2016-06-16","13",""
157,"GSE80372","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80372","A splicing switch of TEAD4 regulates Hippo-YAP signaling pathway to inhibit tumor proliferation","Homo sapiens","2016-06-16","5",""
158,"GSE72066","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72066","Ribosome Profiling of mouse skin squamous tumours","Mus musculus","2016-06-16","12",""
159,"GSE72065","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72065","Transfer RNA (tRNA) processing and RNA m5C-methylation profiles of mouse skin squamous tumours","Mus musculus","2016-06-16","16","rna_seq"
160,"GSE75944","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75944","Gene expression changes in dorsal dermal fibroblasts after beta-catenin deletion in vivo","Mus musculus","2016-06-16","5",""
161,"GSE79392","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79392","Rocaglates convert DEAD-box protein eIF4A into a sequence-selective translational repressor","synthetic construct;","2016-06-15","8",""
162,"GSE66582","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66582","The landscape of accessible chromatin in mammalian pre-implantation embryos (RNA-Seq)","Mus musculus","2016-06-15","32","rna_seq"
163,"GSE66581","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66581","The landscape of accessible chromatin in mammalian pre-implantation embryos (ATAC-Seq)","Mus musculus","2016-06-15","17",""
164,"GSE70211","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70211","Rocaglamide A converts RNA helicase eIF4A into a sequence-specific translational repressor","Homo sapiens; synthe","2016-06-15","23","rna_seq "
165,"GSE81651","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81651","ERRalpha mediates metabolic adaptations that drive lapatinib resistance in breast cancer (ERRalpha binding profiles in breast cancer cells by ChIP-seq)","Homo sapiens","2016-06-15","19",""
166,"GSE75724","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75724","Interleukin-23-induced transcription factor Blimp1 promotes pathogenicity of T helper 17 cells","Mus musculus","2016-06-15","6",""
167,"GSE83290","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83290","A hyperactive transcriptional state marks genome reactivation at the mitosis-G1 transition [CaptureC]","Mus musculus","2016-06-15","26",""
168,"GSE83322","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83322","Next Generation Sequencing of liver and subcutaneous fat tissues obtained from obese subjects","Homo sapiens","2016-06-15","24",""
169,"GSE83263","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83263","A hyperactive transcriptional state marks genome reactivation at the mitosis-G1 transition [Pol2ChIP]","Mus musculus","2016-06-15","46",""
170,"GSE83255","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83255","A hyperactive transcriptional state marks genome reactivation at the mitosis-G1 transition [Hist]","Mus musculus","2016-06-15","5",""
171,"GSE69445","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69445","Crohn's disease risk variant in GPR65 alters lysosomal function","Mus musculus","2016-06-15","6",""
172,"GSE76763","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76763","UMI-4C for quantitative and targeted chromosomal contact profiling","Homo sapiens","2016-06-15","53",""
173,"GSE76173","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76173","Comparative transcriptomic analysis of human and Drosophila extracellular vesicles reveals extensive conservation","Drosophila melanogas","2016-06-15","12",""
174,"GSE79929","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79929","Examination of gene expression in cerebellum of mouse strains B6J, B6J-nmf205-/-, B6J-Gcn2-/- and B6J-nmf205-/-;Gcn2-/-.","Mus musculus","2016-06-15","12",""
175,"GSE79935","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79935","The landscape of accessible chromatin in mammalian pre-implantation embryos (ChIP -Seq)","Mus musculus","2016-06-15","2",""
176,"GSE75797","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75797","Image based identification and targeting of cancer stem cells in pancreatic adenocarcinoma (PDAC)","Homo sapiens","2016-06-15","12",""
177,"GSE80593","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80593","Genome-wide KDM5A occupancy after MK2206/DMSO treatment of T47D cells","Homo sapiens","2016-06-14","2",""
178,"GSE80592","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80592","Genome-wide H3K4me3 after MK2206/DMSO treatment of T47D cells","Homo sapiens","2016-06-14","6",""
179,"GSE80591","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80591","Messenger RNA expression after MK2206/DMSO treatment of T47D cells","Homo sapiens","2016-06-14","4","rna_seq"
180,"GSE76157","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76157","Systematic reconstruction of molecular cascades regulating growth plate development using single-cell RNA-seq","Mus musculus","2016-06-14","217","rna_seq"
181,"GSE83337","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83337","Genetic lineage tracing defines myofibroblast origin and function in the injured heart","Mus musculus","2016-06-14","185",""
182,"GSE83266","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83266","The _-catenin/CBP-antagonist ICG-001 inhibits pediatric glioma tumorigenicity in a Wnt-independent manner","Homo sapiens","2016-06-14","18",""
183,"GSE77482","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77482","Pin1 is required for sustained B cell proliferation upon oncogenic activation of Myc","Mus musculus","2016-06-14","13",""
184,"GSE78078","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78078","miR-126 Orchestrates an Oncogenic Program in B-Cell Precursor Acute Lymphoblastic Leukemia","Homo sapiens; Mus mu","2016-06-14","36",""
185,"GSE79666","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79666","Transcriptome sequencing reveals aberrant alternative splicing in Huntington's disease","Homo sapiens","2016-06-14","14","rna_seq"
186,"GSE81849","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81849","mRNA cap methylation in pluripotency and differentiation","Mus musculus","2016-06-14","16","rna_seq"
187,"GSE80761","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80761","Genome-wide DNA methylation profiling of mouse liver","Mus musculus","2016-06-13","4",""
188,"GSE77334","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77334","ChIPseq to profile CDK9 and Hes1 occupancy in bone marrow-derived macrophages from C57BL/6 mice","Mus musculus","2016-06-13","4",""
189,"GSE73568","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73568","ChIP-seq to profile LPS-induced RNA polymerase II transcription in bone marrow-derived macrophages from WT and Hes1 KO mice","Mus musculus","2016-06-13","8",""
190,"GSE76356","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76356","DICER controls macrophage polarization and tumor response to immunotherapy","Mus musculus","2016-06-13","7",""
191,"GSE74381","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74381","Gene expression profiling of sciatic nerves from Zeb2cKO and control mice","Mus musculus","2016-06-13","4",""
192,"GSE71812","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71812","FUS KO mRNA sequencing and anti-FUS RNA immunoprecipitation sequencing","Homo sapiens","2016-06-13","16","rna_seq "
193,"GSE71779","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71779","ChIPSeq of MV4;11 cell treated with SGC0946 for 8 hours and washout","Homo sapiens","2016-06-12","9",""
194,"GSE71777","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71777","RNASeq of MV4;11 cell treated with DMSO, I-BET, SGC0946 and combination of I-BET and SGC0946","Homo sapiens","2016-06-12","8","rna_seq "
195,"GSE71776","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71776","ChIPSeq of MV4;11 cell treated with DMSO, I-BET, SGC0946 and combination of I-BET and SGC0946","Homo sapiens","2016-06-12","16",""
196,"GSE58503","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58503","GRO-seq in mouse Epiblast-primed, Primitive endoderm-primed, and differentiated endoderm cells","Mus musculus","2016-06-12","3",""
197,"GSE69858","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69858","Critical modulation of hematopoietic lineage fate by the PAR/bZIP transcription factor Hepatic Leukemia Factor","Mus musculus","2016-06-12","8",""
198,"GSE69735","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69735","Recurrent alterations of TNFAIP3 (A20) in T-cell large granular lymphocytic leukemia","Homo sapiens","2016-06-12","10",""
199,"GSE79669","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79669","RNA sequencing of human pancreatic cancer cell lines","Homo sapiens","2016-06-11","14","rna_seq"
200,"GSE79668","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79668","RNA-sequencing of human pancreatic adenocarcinoma cancer tissues","Homo sapiens","2016-06-11","51","rna_seq"
201,"GSE77039","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77039","Distinct gene regulatory programs define the inhibitory effects of LXRs and PPARG on cancer cell proliferation","Homo sapiens","2016-06-10","82",""
202,"GSE69896","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69896","Cellular androgen content influences enzalutamide agonism of F877L mutant androgen receptor","Homo sapiens","2016-06-10","30",""
203,"GSE83189","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83189","PyMT 4 stages tumor progression microRNA sequencing","Mus musculus","2016-06-10","24","rna_seq"
204,"GSE83144","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83144","Alteration in microRNA-25 Balance Causes Heart and Kidney Impairment","Mus musculus","2016-06-10","9","rna_seq"
205,"GSE63144","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63144","CX3CR1/Fractalkine receptor expression separates memory CD8+ T cells with distinct functional profiles (RNA-seq)","Homo sapiens","2016-06-10","17","rna_seq"
206,"GSE75330","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75330","RNA-seq analysis of single cells of the oligodendrocyte lineage from nine distinct regions of the anterior-posterior and dorsal-ventral axis of the mouse juvenile central nervous system","Mus musculus","2016-06-10","5069","rna_seq"
207,"GSE79051","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79051","RNA sequencing analysis of NGFR ablation in both p53-positive and negative non-small-cell lung cancer cell lines","Homo sapiens","2016-06-10","12","rna_seq"
208,"GSE75580","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75580","Effect of loss of Jmjd1c on Hoxa9/Meis1 leukemia","Mus musculus","2016-06-09","6",""
209,"GSE75579","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75579","Effect of loss of Jmjd1c on normal hematopoiesis","Mus musculus","2016-06-09","7",""
210,"GSE75577","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75577","Effect of loss of Jmjd1c on H3K9me2 level across the genome","Mus musculus","2016-06-09","6",""
211,"GSE75576","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75576","Effect of loss of Jmjd1c on MLL-AF9 leukemia","Mus musculus","2016-06-09","8",""
212,"GSE74142","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74142","NAD+ Analog-sensitive PARPs Reveal a Role for PARP-1 in Transcription Elongation","Homo sapiens","2016-06-09","11",""
213,"GSE74141","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74141","NAD+ Analog-sensitive PARPs Reveal a Role for PARP-1 in Transcription Elongation","Homo sapiens; Mus mu","2016-06-09","66",""
214,"GSE64439","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64439","Genome-wide maps of chromatin binding site for Mdm2.","Homo sapiens","2016-06-09","4",""
215,"GSE80072","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80072","Joint-specific DNA transcriptome signatures in rheumatoid arthritis [RNA-seq]","Homo sapiens","2016-06-09","9","rna_seq"
